Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Application_Date,Approval_Date,Loan_Status,Default_Status
L001259,C04154,B010,Auto,50500,10.4,12,2025-04-12,2025-04-30,Approved,Current
L001260,C02453,B021,Personal,0,12.01,60,2025-10-20,2025-10-31,Rejected,Current
L001261,C02769,B009,Personal,8900,14.4,72,2025-12-04,2025-12-13,Approved,Current
L001262,C00783,B011,Business,68300,12.6,84,2024-05-04,2024-05-07,Approved,Current
L001263,C00097,B011,Personal,37700,9.05,12,2023-02-19,2023-03-07,Approved,Default
L001264,C00587,B024,Education,29100,9.55,24,2025-03-26,2025-04-12,Approved,Current
L001265,C04637,B021,Personal,22900,13.91,60,2023-07-20,2023-08-02,Approved,Current
L001266,C04912,B003,Auto,33300,13.02,12,2023-06-24,2023-06-30,Approved,Current
L001267,C02239,B008,Auto,52300,13.68,12,2023-05-22,2023-05-29,Approved,Current
L001268,C00917,B013,Auto,42400,10.79,48,2023-07-09,2023-07-18,Approved,Current
L001269,C03350,B025,Home,0,12.91,48,2025-05-07,2025-05-12,Rejected,Current
L001270,C02587,B005,Business,29900,10.57,60,2025-02-19,2025-02-24,Approved,Current
L001271,C04181,B024,Auto,0,15.3,12,2025-05-18,2025-06-02,Rejected,Current
L001272,C02489,B021,Business,141900,11.23,48,2025-11-30,2025-12-04,Approved,Current
L001273,C03794,B010,Personal,9100,13.27,36,2023-11-25,2023-12-05,Approved,Current
L001274,C02838,B006,Personal,9400,14.25,60,2025-08-22,2025-08-31,Approved,Current
L001275,C02387,B020,Personal,23900,11.89,36,2025-02-13,2025-02-20,Approved,Current
L001276,C01842,B002,Personal,20000,9.27,36,2023-04-05,2023-04-20,Approved,Current
L001277,C01203,B004,Auto,10800,12.88,60,2024-11-24,2024-12-13,Approved,Current
L001278,C04770,B025,Home,0,12.81,60,2024-04-26,2024-05-06,Rejected,Current
L001279,C00730,B017,Business,112900,11.84,12,2023-01-11,2023-01-18,Approved,Current
L001280,C00317,B003,Personal,0,14.9,60,2025-02-11,2025-02-14,Rejected,Current
L001281,C00076,B022,Home,0,11.47,60,2024-04-15,2024-04-18,Rejected,Current
L001282,C03047,B023,Business,87600,11.78,48,2024-03-06,2024-03-26,Approved,Current
L001283,C00204,B024,Education,17300,11.81,60,2025-12-02,2025-12-20,Approved,Current
L001284,C04289,B010,Education,58000,15.1,12,2023-01-04,2023-01-17,Approved,Current
L001285,C03776,B003,Business,0,16.23,84,2023-12-03,2023-12-15,Rejected,Current
L001286,C02945,B011,Auto,0,14.15,36,2024-01-10,2024-01-27,Rejected,Current
L001287,C04356,B028,Education,14800,10.19,48,2023-01-30,2023-02-16,Approved,Current
L001288,C03052,B002,Auto,0,13.26,12,2025-06-16,2025-06-27,Rejected,Current
L001289,C02664,B016,Education,75800,14.56,60,2025-04-21,2025-05-08,Approved,Current
L001290,C00432,B026,Personal,0,15.89,48,2023-08-08,2023-08-28,Rejected,Current
L001291,C02764,B019,Education,22500,14.08,84,2023-05-08,2023-05-25,Approved,Current
L001292,C04792,B011,Auto,28500,13.03,48,2023-08-13,2023-09-01,Approved,Current
L001293,C03163,B019,Personal,12700,15.19,60,2024-02-12,2024-02-19,Approved,Current
L001294,C00198,B028,Personal,0,12.86,12,2024-11-07,2024-11-26,Rejected,Current
L001295,C00039,B016,Business,96800,8.38,12,2023-06-07,2023-06-09,Approved,Current
L001296,C02519,B006,Home,0,13.29,72,2024-12-09,2024-12-19,Rejected,Current
L001297,C02127,B020,Education,14000,11.56,36,2024-02-11,2024-02-17,Approved,Current
L001298,C00729,B021,Personal,29400,16.11,72,2023-01-30,2023-02-15,Approved,Current
L001299,C03900,B015,Home,0,12.95,24,2023-07-15,2023-07-23,Rejected,Current
L001300,C03166,B017,Home,128800,13.97,60,2025-03-29,2025-04-02,Approved,Current
L001301,C04780,B018,Home,125600,11.82,48,2023-12-10,2023-12-30,Approved,Current
L001302,C04228,B015,Auto,17900,12.4,84,2024-08-01,2024-08-12,Approved,Current
L001303,C02125,B010,Auto,37100,12.24,36,2023-07-03,2023-07-21,Approved,Current
L001304,C04135,B017,Personal,29400,13.13,12,2024-05-26,2024-06-10,Approved,Current
L001305,C03772,B022,Personal,12100,11.2,48,2025-08-18,2025-09-03,Approved,Current
L001306,C03258,B008,Personal,6500,11.89,60,2024-09-12,2024-09-20,Approved,Current
L001307,C03207,B023,Business,54000,9.83,12,2023-08-06,2023-08-23,Approved,Current
L001308,C02599,B027,Home,144600,13.31,12,2023-11-17,2023-11-19,Approved,Current
L001309,C04436,B030,Home,94000,12.16,60,2023-01-02,2023-01-19,Approved,Current
L001310,C03314,B030,Home,133100,13.91,60,2025-02-09,2025-02-24,Approved,Current
L001311,C01245,B015,Business,0,13.77,24,2024-08-17,2024-09-06,Rejected,Current
L001312,C04088,B026,Personal,17800,11.52,60,2023-03-23,2023-03-30,Approved,Current
L001313,C00658,B010,Personal,0,13.25,12,2023-08-11,2023-08-22,Rejected,Current
L001314,C02966,B019,Auto,44000,13.1,60,2025-02-13,2025-03-04,Approved,Current
L001315,C01700,B002,Education,0,15.06,36,2025-05-28,2025-06-03,Rejected,Current
L001316,C04457,B030,Auto,70200,14.15,36,2025-11-27,2025-12-15,Approved,Current
L001317,C03044,B015,Personal,13100,11.88,60,2024-03-17,2024-03-26,Approved,Default
L001318,C04425,B004,Home,0,12.49,72,2024-07-26,2024-08-11,Rejected,Current
L001319,C01800,B001,Education,37900,13.93,12,2024-08-17,2024-08-30,Approved,Current
L001320,C04536,B012,Home,180600,13.04,24,2025-07-23,2025-07-31,Approved,Current
L001321,C03627,B028,Home,0,10.51,36,2023-01-28,2023-02-14,Rejected,Current
L001322,C03978,B008,Home,269400,12.41,72,2023-07-04,2023-07-18,Approved,Current
L001323,C01977,B010,Education,45500,11.88,72,2023-03-11,2023-03-20,Approved,Current
L001324,C04929,B028,Auto,0,11.42,72,2024-12-19,2024-12-25,Rejected,Current
L001325,C03670,B029,Auto,0,14.95,36,2024-10-29,2024-11-14,Rejected,Current
L001326,C04193,B004,Personal,0,13.52,36,2024-07-02,2024-07-05,Rejected,Current
L001327,C00938,B018,Auto,0,11.09,24,2023-08-05,2023-08-07,Rejected,Current
L001328,C01290,B008,Home,430700,14.74,72,2024-08-30,2024-09-07,Approved,Current
L001329,C04671,B003,Personal,4300,9.33,36,2024-11-25,2024-11-29,Approved,Current
L001330,C02151,B011,Business,131800,13.27,48,2024-09-04,2024-09-16,Approved,Current
L001331,C04925,B014,Home,0,15.1,36,2025-01-09,2025-01-10,Rejected,Current
L001332,C00513,B026,Personal,31700,15.5,48,2024-04-16,2024-05-03,Approved,Current
L001333,C04762,B016,Education,15100,13.0,36,2024-01-20,2024-02-07,Approved,Current
L001334,C01517,B028,Personal,13600,12.51,36,2023-01-03,2023-01-20,Approved,Current
L001335,C02083,B001,Auto,0,13.36,48,2024-08-05,2024-08-21,Rejected,Current
L001336,C01405,B020,Auto,17900,12.81,36,2023-04-07,2023-04-10,Approved,Current
L001337,C04493,B015,Education,0,14.32,60,2024-08-19,2024-08-28,Rejected,Current
L001338,C01932,B012,Business,94100,12.19,48,2025-01-20,2025-02-01,Approved,Default
L001339,C01886,B025,Auto,28700,12.88,24,2024-11-18,2024-11-25,Approved,Default
L001340,C02354,B028,Home,0,13.77,36,2024-10-04,2024-10-10,Rejected,Current
L001341,C03808,B015,Home,100200,11.48,12,2024-11-19,2024-11-30,Approved,Current
L001342,C02747,B016,Education,18200,13.5,36,2024-09-04,2024-09-10,Approved,Current
L001343,C00581,B004,Personal,16700,12.71,60,2024-11-30,2024-12-17,Approved,Current
L001344,C02213,B007,Business,49100,11.16,24,2023-12-19,2023-12-29,Approved,Current
L001345,C03330,B005,Personal,35400,14.39,24,2025-10-18,2025-10-21,Approved,Current
L001346,C00102,B021,Personal,0,12.93,36,2023-06-30,2023-07-19,Rejected,Current
L001347,C04551,B014,Personal,0,12.71,60,2024-04-21,2024-04-24,Rejected,Current
L001348,C04289,B010,Personal,11100,12.05,48,2024-10-27,2024-10-29,Approved,Current
L001349,C03843,B012,Education,0,12.13,36,2024-02-26,2024-03-17,Rejected,Current
L001350,C02964,B014,Business,39200,13.72,72,2025-06-23,2025-06-24,Approved,Current
L001351,C04994,B019,Home,0,13.73,48,2025-12-05,2025-12-23,Rejected,Current
L001352,C04906,B027,Auto,59700,11.9,48,2025-05-11,2025-05-19,Approved,Current
L001353,C00299,B018,Auto,23600,14.04,12,2023-03-27,2023-04-15,Approved,Current
L001354,C04117,B021,Business,60300,11.05,60,2025-01-16,2025-01-21,Approved,Current
L001355,C00045,B018,Business,0,12.43,48,2025-06-11,2025-06-21,Rejected,Current
L001356,C02544,B024,Personal,7800,13.11,24,2024-08-16,2024-08-25,Approved,Current
L001357,C03860,B023,Home,188600,12.62,36,2023-06-27,2023-07-15,Approved,Current
L001358,C04779,B002,Auto,20500,13.13,36,2023-07-12,2023-07-31,Approved,Current
L001359,C04395,B011,Education,24300,12.01,24,2025-03-05,2025-03-10,Approved,Current
L001360,C03553,B015,Auto,22500,10.63,48,2024-05-01,2024-05-12,Approved,Current
L001361,C03156,B005,Business,61200,14.23,36,2024-10-03,2024-10-23,Approved,Current
L001362,C03132,B005,Business,242600,12.49,36,2024-04-11,2024-04-12,Approved,Current
L001363,C00288,B020,Auto,49200,9.27,36,2024-03-20,2024-04-01,Approved,Current
L001364,C03706,B007,Business,0,14.45,48,2025-06-04,2025-06-10,Rejected,Current
L001365,C00517,B002,Home,114300,15.14,48,2025-06-07,2025-06-27,Approved,Current
L001366,C02202,B022,Home,296500,13.39,60,2023-04-01,2023-04-13,Approved,Current
L001367,C04438,B028,Business,161800,9.3,36,2023-03-04,2023-03-16,Approved,Current
L001368,C04182,B025,Personal,8400,14.73,60,2023-01-15,2023-01-18,Approved,Current
L001369,C03659,B027,Home,271700,12.23,12,2025-10-11,2025-10-26,Approved,Current
L001370,C04287,B001,Auto,37000,12.95,60,2025-01-02,2025-01-13,Approved,Current
L001371,C03324,B001,Home,63600,14.7,36,2023-10-21,2023-10-31,Approved,Current
L001372,C04077,B015,Education,22400,14.19,36,2025-03-26,2025-04-11,Approved,Current
L001373,C03937,B001,Education,26000,11.53,48,2023-09-15,2023-09-27,Approved,Current
L001374,C01170,B006,Home,190000,13.7,60,2024-12-13,2024-12-29,Approved,Current
L001375,C00991,B013,Home,0,10.82,48,2023-06-11,2023-06-16,Rejected,Current
L001376,C04972,B007,Auto,21000,13.59,72,2025-10-18,2025-11-05,Approved,Current
L001377,C03706,B012,Home,0,14.79,72,2024-03-02,2024-03-12,Rejected,Current
L001378,C01852,B004,Personal,0,12.65,36,2023-01-24,2023-01-30,Rejected,Current
L001379,C02710,B026,Auto,24100,16.02,48,2025-09-24,2025-10-08,Approved,Current
L001380,C04008,B010,Auto,0,13.7,60,2024-09-20,2024-10-04,Rejected,Current
L001381,C02622,B008,Personal,21300,13.04,36,2024-06-28,2024-07-07,Approved,Current
L001382,C02179,B018,Business,0,15.67,12,2023-10-26,2023-11-11,Rejected,Current
L001383,C00839,B025,Auto,51700,10.67,84,2025-11-06,2025-11-19,Approved,Current
L001384,C01556,B022,Personal,37100,12.99,84,2025-10-27,2025-11-10,Approved,Current
L001385,C01223,B011,Auto,24600,10.6,36,2025-08-12,2025-08-23,Approved,Current
L001386,C04935,B006,Personal,10400,13.23,36,2024-07-01,2024-07-03,Approved,Current
L001387,C02044,B027,Personal,28000,11.56,24,2023-09-28,2023-10-18,Approved,Current
L001388,C01434,B016,Business,0,13.38,60,2023-03-11,2023-03-31,Rejected,Current
L001389,C01169,B019,Education,41800,11.43,60,2023-08-16,2023-09-04,Approved,Current
L001390,C00948,B028,Personal,11100,9.18,48,2023-08-25,2023-09-06,Approved,Current
L001391,C00161,B029,Education,40000,13.13,36,2023-07-16,2023-08-02,Approved,Current
L001392,C04560,B022,Personal,16300,11.73,48,2024-01-04,2024-01-13,Approved,Current
L001393,C03132,B003,Personal,0,11.32,48,2025-03-27,2025-04-07,Rejected,Current
L001394,C02628,B006,Personal,0,13.83,48,2025-06-02,2025-06-14,Rejected,Current
L001395,C02536,B011,Personal,23600,13.85,48,2024-12-20,2024-12-23,Approved,Current
L001396,C02273,B005,Home,283200,14.68,12,2024-12-15,2025-01-01,Approved,Current
L001397,C03464,B018,Education,0,11.05,48,2024-09-30,2024-10-06,Rejected,Current
L001398,C04805,B028,Personal,21800,13.32,36,2025-03-06,2025-03-10,Approved,Current
L001399,C00161,B014,Home,223100,12.76,48,2023-12-08,2023-12-21,Approved,Current
L001400,C01785,B028,Auto,0,12.43,12,2023-06-04,2023-06-21,Rejected,Current
L001401,C01945,B005,Home,318400,11.11,72,2025-09-03,2025-09-13,Approved,Current
L001402,C03183,B017,Auto,86700,11.29,72,2024-03-31,2024-04-20,Approved,Current
L001403,C03975,B008,Home,143200,12.19,48,2023-02-01,2023-02-19,Approved,Default
L001404,C03625,B020,Personal,40200,12.59,60,2025-09-30,2025-10-14,Approved,Current
L001405,C03745,B025,Auto,34100,12.29,48,2025-11-04,2025-11-20,Approved,Current
L001406,C00767,B018,Personal,0,13.16,48,2023-05-08,2023-05-27,Rejected,Current
L001407,C02028,B023,Personal,12600,13.72,60,2024-02-28,2024-03-14,Approved,Current
L001408,C04007,B023,Home,0,11.96,36,2023-04-06,2023-04-19,Rejected,Current
L001409,C00185,B022,Home,275500,10.87,84,2025-03-25,2025-03-27,Approved,Current
L001410,C01897,B016,Auto,0,12.59,60,2024-09-04,2024-09-13,Rejected,Current
L001411,C03296,B004,Home,0,14.51,84,2024-06-05,2024-06-18,Rejected,Current
L001412,C02405,B012,Auto,0,13.01,48,2023-08-12,2023-08-24,Rejected,Current
L001413,C02540,B026,Auto,19900,11.56,12,2023-09-05,2023-09-06,Approved,Current
L001414,C00733,B019,Home,0,13.51,36,2025-09-01,2025-09-14,Rejected,Current
L001415,C01622,B024,Education,0,15.73,60,2024-10-10,2024-10-18,Rejected,Current
L001416,C00578,B003,Education,0,14.73,72,2025-01-11,2025-01-15,Rejected,Current
L001417,C02162,B022,Auto,36800,9.83,60,2025-05-11,2025-05-22,Approved,Current
L001418,C00378,B002,Personal,25800,12.55,48,2024-07-05,2024-07-11,Approved,Current
L001419,C03849,B024,Home,87500,10.45,24,2025-02-22,2025-03-07,Approved,Current
L001420,C01309,B008,Personal,8600,9.83,24,2025-11-14,2025-12-04,Approved,Current
L001421,C04193,B005,Home,0,12.53,12,2023-05-18,2023-05-23,Rejected,Current
L001422,C00842,B001,Personal,18000,13.8,60,2025-07-14,2025-07-27,Approved,Current
L001423,C02172,B029,Auto,55700,10.51,60,2023-01-09,2023-01-26,Approved,Current
L001424,C00156,B005,Personal,26700,11.49,24,2024-07-22,2024-08-10,Approved,Current
L001425,C04149,B014,Education,22900,13.65,36,2023-10-29,2023-11-17,Approved,Current
L001426,C01703,B004,Personal,21900,9.62,48,2024-09-22,2024-09-23,Approved,Current
L001427,C02636,B008,Auto,20100,11.72,24,2023-06-20,2023-06-24,Approved,Current
L001428,C03386,B025,Education,29200,10.92,36,2025-06-02,2025-06-04,Approved,Current
L001429,C04822,B016,Personal,0,9.72,84,2024-05-26,2024-06-07,Rejected,Current
L001430,C01414,B005,Education,60600,11.73,60,2024-01-04,2024-01-05,Approved,Current
L001431,C00045,B011,Home,0,13.66,24,2024-01-10,2024-01-22,Rejected,Current
L001432,C01687,B013,Education,18300,12.15,24,2023-07-23,2023-08-05,Approved,Current
L001433,C02170,B008,Education,0,13.48,48,2023-02-26,2023-03-04,Rejected,Current
L001434,C03242,B011,Personal,15000,12.93,84,2024-10-18,2024-10-25,Approved,Current
L001435,C02726,B003,Business,40200,8.2,60,2025-11-14,2025-12-04,Approved,Current
L001436,C01424,B001,Personal,15900,10.94,36,2025-12-14,2025-12-19,Approved,Current
L001437,C04015,B004,Personal,16600,10.5,12,2023-05-27,2023-06-05,Approved,Current
L001438,C04596,B019,Personal,23300,11.31,36,2025-09-03,2025-09-16,Approved,Current
L001439,C00074,B014,Personal,25200,9.53,24,2025-10-01,2025-10-15,Approved,Current
L001440,C03019,B022,Auto,33800,10.99,24,2025-07-10,2025-07-18,Approved,Current
L001441,C01561,B026,Home,75500,11.93,24,2023-03-13,2023-03-29,Approved,Current
L001442,C00892,B028,Business,48500,14.9,60,2025-01-19,2025-02-02,Approved,Current
L001443,C03133,B002,Home,0,12.57,12,2025-08-10,2025-08-28,Rejected,Current
L001444,C01890,B014,Education,40100,12.56,48,2023-05-16,2023-05-26,Approved,Current
L001445,C01247,B007,Personal,25300,13.35,60,2025-12-05,2025-12-24,Approved,Current
L001446,C03803,B011,Personal,0,16.5,24,2024-05-31,2024-06-16,Rejected,Current
L001447,C00473,B003,Auto,117200,14.79,72,2025-11-01,2025-11-10,Approved,Current
L001448,C02218,B017,Business,0,12.5,12,2023-01-27,2023-01-28,Rejected,Current
L001449,C00701,B026,Business,187900,12.22,60,2023-03-25,2023-04-03,Approved,Current
L001450,C02080,B015,Home,272000,13.09,24,2024-07-01,2024-07-15,Approved,Current
L001451,C00053,B021,Personal,23200,10.77,60,2025-12-11,2025-12-18,Approved,Current
L001452,C02988,B029,Personal,22300,15.35,48,2023-03-15,2023-03-26,Approved,Current
L001453,C00139,B028,Home,68600,12.16,48,2024-05-04,2024-05-24,Approved,Current
L001454,C01398,B004,Home,103800,10.52,36,2023-01-12,2023-01-19,Approved,Current
L001455,C02138,B030,Home,163700,11.67,36,2024-11-01,2024-11-11,Approved,Current
L001456,C00828,B019,Auto,34300,12.06,48,2024-08-25,2024-09-13,Approved,Current
L001457,C02084,B010,Auto,29900,12.8,60,2024-11-02,2024-11-04,Approved,Current
L001458,C02977,B017,Auto,37200,11.41,24,2025-09-28,2025-09-30,Approved,Current
L001459,C01249,B017,Personal,5700,14.59,60,2025-04-11,2025-04-27,Approved,Current
L001460,C04650,B012,Auto,42300,10.66,48,2024-08-25,2024-09-06,Approved,Current
L001461,C04836,B015,Personal,18600,10.66,48,2023-11-11,2023-11-19,Approved,Current
L001462,C04365,B029,Personal,16200,11.93,12,2025-03-03,2025-03-13,Approved,Current
L001463,C00186,B011,Business,158200,12.73,24,2023-03-09,2023-03-24,Approved,Current
L001464,C03443,B027,Auto,0,12.3,48,2023-07-16,2023-08-01,Rejected,Current
L001465,C04965,B014,Business,83400,13.34,84,2024-10-26,2024-10-30,Approved,Current
L001466,C03194,B015,Personal,21000,10.84,36,2024-06-05,2024-06-10,Approved,Current
L001467,C04929,B013,Education,17500,16.85,12,2023-07-09,2023-07-26,Approved,Current
L001468,C01413,B002,Personal,6000,10.54,48,2023-01-12,2023-01-22,Approved,Current
L001469,C03189,B005,Business,50400,10.85,12,2025-08-20,2025-08-24,Approved,Current
L001470,C02917,B020,Home,178500,11.48,36,2025-11-18,2025-11-19,Approved,Current
L001471,C01016,B006,Personal,15700,10.69,36,2025-09-15,2025-09-16,Approved,Default
L001472,C04538,B015,Personal,0,13.49,12,2024-07-08,2024-07-15,Rejected,Current
L001473,C04135,B029,Personal,0,14.62,60,2023-03-29,2023-04-01,Rejected,Current
L001474,C04262,B011,Home,89900,14.21,72,2025-05-05,2025-05-21,Approved,Current
L001475,C01936,B001,Education,0,12.63,84,2024-04-17,2024-05-03,Rejected,Current
L001476,C01469,B026,Home,0,12.91,48,2023-04-21,2023-05-06,Rejected,Current
L001477,C04539,B024,Auto,45400,11.42,36,2024-02-25,2024-03-07,Approved,Current
L001478,C04427,B012,Business,63000,12.23,60,2023-03-10,2023-03-28,Approved,Current
L001479,C01359,B017,Auto,0,11.99,60,2023-04-29,2023-05-19,Rejected,Current
L001480,C01770,B029,Home,44200,11.25,36,2025-02-17,2025-02-25,Approved,Current
L001481,C02762,B001,Education,0,13.62,48,2023-09-04,2023-09-10,Rejected,Current
L001482,C02883,B002,Personal,19300,14.52,60,2025-04-10,2025-04-28,Approved,Default
L001483,C01190,B002,Home,162800,12.27,24,2023-01-22,2023-01-30,Approved,Current
L001484,C01193,B030,Business,69600,11.76,12,2024-02-03,2024-02-23,Approved,Current
L001485,C02817,B018,Personal,0,13.39,48,2023-11-22,2023-12-09,Rejected,Current
L001486,C03622,B030,Auto,0,14.86,60,2024-08-24,2024-08-29,Rejected,Current
L001487,C04857,B022,Personal,22000,11.88,48,2024-10-07,2024-10-10,Approved,Current
L001488,C01043,B003,Personal,0,11.47,48,2023-12-18,2024-01-06,Rejected,Current
L001489,C00226,B016,Personal,14700,11.7,36,2025-03-21,2025-03-28,Approved,Default
L001490,C01979,B010,Education,0,13.07,60,2024-02-08,2024-02-20,Rejected,Current
L001491,C03978,B015,Business,0,15.17,12,2024-09-28,2024-09-29,Rejected,Current
L001492,C03832,B012,Personal,18500,10.77,24,2024-12-02,2024-12-05,Approved,Current
L001493,C02645,B013,Personal,0,15.12,48,2023-11-19,2023-11-29,Rejected,Current
L001494,C01884,B012,Home,0,15.02,72,2024-08-16,2024-08-22,Rejected,Current
L001495,C00541,B021,Auto,68300,12.03,60,2023-08-15,2023-08-31,Approved,Current
L001496,C00646,B007,Business,0,11.38,36,2023-06-29,2023-07-13,Rejected,Current
L001497,C04802,B019,Education,56800,7.93,48,2025-08-27,2025-09-04,Approved,Current
L001498,C04727,B015,Business,107000,12.39,60,2025-09-16,2025-09-22,Approved,Default
L001499,C04287,B027,Auto,34000,12.73,48,2025-08-08,2025-08-19,Approved,Current
L001500,C01689,B020,Personal,0,12.94,12,2025-04-15,2025-04-19,Rejected,Current
L001501,C00855,B007,Personal,12800,13.23,36,2024-10-25,2024-11-02,Approved,Current
L001502,C00405,B026,Auto,26700,13.02,36,2023-06-03,2023-06-08,Approved,Current
L001503,C03344,B027,Home,0,13.01,72,2025-01-02,2025-01-12,Rejected,Current
L001504,C02478,B021,Business,158900,14.75,36,2025-03-16,2025-03-28,Approved,Current
L001505,C00520,B014,Home,222500,12.45,12,2025-11-25,2025-12-12,Approved,Current
L001506,C02941,B013,Personal,32900,11.97,36,2023-05-02,2023-05-22,Approved,Current
L001507,C01408,B014,Home,207100,10.36,12,2023-07-01,2023-07-12,Approved,Current
L001508,C00821,B020,Education,0,12.98,60,2024-06-19,2024-07-09,Rejected,Current
L001509,C03675,B012,Business,63000,14.09,48,2023-12-04,2023-12-16,Approved,Current
L001510,C04531,B007,Personal,31000,12.44,48,2023-04-13,2023-04-25,Approved,Current
L001511,C03836,B002,Business,76300,9.1,36,2023-08-19,2023-09-05,Approved,Current
L001512,C04068,B016,Home,185300,11.62,36,2024-09-18,2024-10-08,Approved,Current
L001513,C03288,B018,Home,0,12.36,60,2025-02-17,2025-02-22,Rejected,Current
L001514,C02182,B028,Home,0,13.13,24,2025-05-24,2025-06-10,Rejected,Current
L001515,C04715,B001,Auto,50200,10.95,12,2024-12-28,2025-01-02,Approved,Current
L001516,C03233,B001,Home,305900,12.17,48,2025-08-30,2025-09-12,Approved,Current
L001517,C00425,B015,Auto,0,16.49,72,2025-05-12,2025-05-26,Rejected,Current
L001518,C01552,B029,Auto,34900,8.54,48,2025-06-08,2025-06-16,Approved,Current
L001519,C00358,B026,Personal,0,14.46,60,2023-01-03,2023-01-17,Rejected,Current
L001520,C03447,B025,Personal,39000,9.28,72,2025-06-26,2025-07-02,Approved,Current
L001521,C01595,B010,Business,87700,13.52,12,2023-06-29,2023-07-06,Approved,Current
L001522,C01011,B013,Auto,66400,11.25,48,2023-05-05,2023-05-15,Approved,Current
L001523,C00197,B003,Home,90400,12.54,60,2024-01-20,2024-02-06,Approved,Current
L001524,C01034,B028,Personal,0,15.08,60,2024-10-07,2024-10-13,Rejected,Current
L001525,C00862,B023,Personal,11200,11.73,48,2023-07-21,2023-07-24,Approved,Current
L001526,C00349,B026,Home,295900,10.05,60,2024-10-25,2024-11-13,Approved,Current
L001527,C03778,B005,Personal,11200,11.57,60,2023-11-24,2023-12-13,Approved,Current
L001528,C01659,B017,Home,259900,14.27,48,2025-04-28,2025-05-01,Approved,Current
L001529,C00575,B029,Business,55900,11.84,12,2024-02-12,2024-02-15,Approved,Current
L001530,C01820,B008,Personal,31800,13.55,60,2024-08-11,2024-08-16,Approved,Current
L001531,C00931,B002,Business,151200,9.56,36,2023-09-22,2023-09-28,Approved,Current
L001532,C04009,B007,Auto,0,14.22,36,2023-09-11,2023-09-17,Rejected,Current
L001533,C04683,B021,Personal,0,13.29,60,2024-09-01,2024-09-14,Rejected,Current
L001534,C00484,B012,Auto,53900,11.43,48,2024-06-20,2024-07-09,Approved,Current
L001535,C03913,B006,Personal,10800,12.93,60,2025-05-29,2025-06-03,Approved,Current
L001536,C00358,B021,Auto,0,14.2,36,2024-07-03,2024-07-04,Rejected,Current
L001537,C04481,B022,Personal,10000,11.87,72,2023-09-27,2023-10-14,Approved,Current
L001538,C00254,B030,Home,0,12.65,48,2025-02-16,2025-02-18,Rejected,Current
L001539,C03995,B021,Auto,17700,12.77,48,2023-07-18,2023-07-30,Approved,Current
L001540,C00835,B020,Personal,0,14.34,24,2023-05-22,2023-06-09,Rejected,Current
L001541,C01191,B022,Personal,0,14.13,48,2023-12-21,2023-12-28,Rejected,Current
L001542,C01704,B021,Home,72800,14.29,36,2025-03-27,2025-04-01,Approved,Current
L001543,C04892,B002,Home,139700,12.34,60,2023-06-25,2023-07-14,Approved,Current
L001544,C04565,B007,Business,0,13.63,60,2024-01-22,2024-02-07,Rejected,Current
L001545,C00493,B006,Personal,28900,8.37,12,2025-12-06,2025-12-18,Approved,Current
L001546,C03410,B025,Home,144500,10.14,48,2024-07-25,2024-08-13,Approved,Current
L001547,C04147,B001,Home,0,14.95,12,2025-03-03,2025-03-22,Rejected,Current
L001548,C03128,B017,Personal,0,14.17,48,2024-09-24,2024-10-14,Rejected,Current
L001549,C02121,B028,Auto,44700,13.89,72,2023-06-16,2023-07-01,Approved,Current
L001550,C03866,B028,Personal,10700,11.19,72,2024-07-11,2024-07-20,Approved,Current
L001551,C00052,B030,Business,82100,11.38,36,2025-03-07,2025-03-15,Approved,Current
L001552,C00262,B022,Home,112600,10.1,24,2023-03-27,2023-04-15,Approved,Current
L001553,C03003,B006,Personal,35700,12.02,60,2024-10-28,2024-11-04,Approved,Current
L001554,C01909,B030,Auto,25200,13.8,48,2023-01-03,2023-01-22,Approved,Current
L001555,C03647,B004,Auto,21500,12.15,48,2025-04-03,2025-04-15,Approved,Current
L001556,C02378,B010,Home,179900,11.58,60,2025-05-28,2025-05-31,Approved,Current
L001557,C03395,B022,Personal,16100,8.42,36,2025-02-27,2025-03-03,Approved,Current
L001558,C04337,B019,Personal,26300,11.72,36,2025-11-13,2025-11-15,Approved,Current
L001559,C01626,B006,Home,0,14.42,60,2024-06-08,2024-06-15,Rejected,Current
L001560,C01229,B002,Personal,0,14.87,36,2025-08-23,2025-08-26,Rejected,Current
L001561,C04387,B008,Auto,0,10.94,48,2024-05-10,2024-05-11,Rejected,Current
L001562,C01390,B006,Auto,37800,11.8,48,2024-11-13,2024-11-25,Approved,Current
L001563,C01488,B009,Business,215400,13.68,36,2025-05-11,2025-05-30,Approved,Current
L001564,C00917,B015,Auto,0,13.01,12,2024-08-12,2024-09-01,Rejected,Current
L001565,C02142,B025,Auto,0,11.15,60,2023-01-30,2023-02-16,Rejected,Current
L001566,C00711,B019,Auto,44300,9.48,60,2024-04-11,2024-04-29,Approved,Default
L001567,C01887,B022,Education,35300,13.32,48,2023-07-22,2023-07-25,Approved,Current
L001568,C02217,B015,Personal,30000,15.4,24,2024-12-24,2025-01-06,Approved,Current
L001569,C01321,B022,Personal,0,13.28,48,2023-06-02,2023-06-07,Rejected,Current
L001570,C02564,B004,Personal,0,10.9,24,2024-11-08,2024-11-27,Rejected,Current
